LexicalClass,EntryID,LemmaID,Iconicity(M),Iconicity(bin),SignFrequency(M),SignFrequency(bin),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreqZ(native),SignFrequency(N-Native),PercentUnknown(Native),GlossConfirmation,PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(SD),Iconicity(Z),Iconicity(N),SubtLexUSLog10WF,Compound,Initialized,FingerspelledLoanSign,SignOnset(ms),SignOffset(ms),SignLength(ms),SignLength(bin),ClipLength(ms),SignType,MajorLocation,MinorLocation,SelectedFingers,Flexion,Movement,MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,SignTypeFrequency,MajorLocationFrequency,MinorLocationFrequency,SelectedFingersFrequency,FlexionFrequency,MovementFrequency,HandshapeFrequency,,Batch,Item,List,Repeat.1,Telic,TelicHow,repetition,telicity notes
Verb,hearing,hearing,1,loicon,5.857,hifreq,1.407,0.836419187,28,3.33%,6.235,1.033,0.968523196,17,5.56%,0,,,2.025,-0.854,27,3.358,0,0,0,600.6,834.17,233.57,short,1668.34,OneHanded,Head,Chin,i,1,Circular,802,48,6,388,300,63,265,487,111,134,,C,23,2,0,0,,repetition,
Verb,understand,understand,4.633,hiicon,6.1,hifreq,1.125,1.017312979,30,0.00%,6.222,0.943,0.986820461,18,0.00%,0,,,1.921,0.925,30,4.391,0,0,0,500.5,1267.94,767.43,medlong,1568.24,OneHanded,Head,Eye,i,2,None,645,33,2,388,300,61,265,76,180,39,,D,11,2,0,1,apertureChange,,
Verb,have,have,3.533,medicon,6.125,hifreq,1.035,0.915894334,24,0.00%,6.308,0.855,0.99662409,13,0.00%,0,,,1.948,0.369,30,5.497,0,0,0,500.5,834.17,333.67,medshort,1501.5,SymmetricalOrAlternating,Body,Clavicle,imrp,4,Straight,698,5,0,332,100,41,455,52,177,30,,B,57,3,0,0,contactChange,,
Verb,think,think,6.583,hiicon,5.867,hifreq,1.042,0.894485263,30,0.00%,6.278,0.826,1.000204033,18,0.00%,0,,,2.075,1.781,36,5.138,0,0,0,367.03,1334.67,967.63,medlong,2235.57,OneHanded,Head,Eye,i,3,None,663,29,2,388,300,61,265,88,180,17,,C,53,3,0,0,contactChange,,
Verb,buy,buy,3.08,medicon,5.577,hifreq,1.137,0.797358668,26,0.00%,6.063,0.929,1.038405377,16,0.00%,0,,,2.009,0.049,25,3.992,0,0,0,567.23,1601.6,1034.37,long,2535.87,AsymmetricalDifferentHandshape,Hand,Palm,imrp,4,Curved,665,12,1,178,216,91,455,52,125,30,,D,74,3,0,1,contactChange,,
Verb,tell,tell,5.667,hiicon,5.933,hifreq,1.413,0.923835624,30,0.00%,6.222,1.166,1.053013564,18,0.00%,0,,,2.025,1.431,27,4.944,0,0,0,300.3,1134.47,834.17,medlong,1835.17,OneHanded,Head,Chin,i,1,Curved,807,57,4,388,300,63,265,487,125,134,,C,13,2,0,1,contactChange,,
Verb,learn,learn,3.259,medicon,6.2,hifreq,1,0.928236565,25,0.00%,6.5,0.65,1.090931426,14,0.00%,0,,,2.016,0.172,27,3.782,0,0,0,433.77,900.9,467.13,medshort,1568.24,AsymmetricalDifferentHandshape,Hand,Palm,imrp,3,Straight,702,16,2,178,216,91,455,88,177,34,,B,42,1,0,1,contactChange|apertureChange,,
Verb,see,see,4.63,hiicon,6.333,hifreq,0.922,1.142891902,30,0.00%,6.5,0.786,1.117305123,18,0.00%,0,,,2.025,0.896,27,5.115,0,0,0,300.3,1001,700.7,medlong,1801.8,OneHanded,Head,Eye,im,1,Straight,793,42,3,388,300,61,129,487,177,66,,C,30,2,0,0,contactChange,,
Verb,walk,walk,4.806,hiicon,6.111,hifreq,1.05,1.086407271,27,0.00%,6.294,0.92,1.130880832,17,0.00%,0,,,2.166,0.853,31,4.042,0,0,0,467.13,1568.24,1101.1,long,2202.2,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,BackAndForth,908,118,32,332,349,345,455,487,354,192,,A,61,1,0,0,,repetition,
Verb,can,can,1.68,loicon,6,hifreq,1.166,1.066683889,26,0.00%,6.25,1,1.131786052,16,0.00%,0,,,2.009,-0.622,25,5.428,0,0,0,567.23,1434.77,867.53,medlong,2469.14,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Straight,725,48,7,332,349,345,455,82,177,72,,D,27,3,0,0,orientationChange,,
Verb,cook,cook,3.12,medicon,6.077,hifreq,1.055,1.112647347,26,0.00%,6.188,1.047,1.142958684,16,0.00%,0,,,2.009,0.082,25,3.366,0,0,0,700.7,1735.07,1034.37,long,2369.04,AsymmetricalDifferentHandshape,Hand,Palm,imrp,1,BackAndForth,885,64,18,178,216,91,455,487,354,192,,D,78,3,0,0,contactChange|orientationChange,repetition,
Verb,read,read,4.571,medicon,6.387,hifreq,1.202,1.253628008,31,0.00%,6.222,1.353,1.183732058,18,0.00%,0,,,2.048,0.674,35,4.09,0,0,0,533.87,1001,467.13,medshort,1234.57,AsymmetricalDifferentHandshape,Hand,Palm,im,1,BackAndForth,781,40,11,178,216,91,129,487,354,66,,A,22,1,0,0,,repetition,
Verb,eat_1,eat,6.1,hiicon,6.84,hifreq,0.624,1.354965162,25,0.00%,6.786,0.802,1.233383703,14,0.00%,1,80.00%,85.71%,2.045,1.641,30,4.109,0,0,0,467.13,867.53,400.4,medshort,1501.5,OneHanded,Head,Mouth,imrp,6,BackAndForth,853,32,2,388,300,40,455,74,354,20,,B,2,2,0,0,contactChange,repetition,
Verb,sleep,sleep,4.833,hiicon,6.6,hifreq,0.645,1.182540037,25,0.00%,6.786,0.579,1.238120816,14,0.00%,0,,,1.948,1.03,30,4.065,0,0,0,633.97,1001,367.03,medshort,1968.64,OneHanded,Head,Other,imrp,1,Straight,897,64,8,388,300,74,455,487,177,192,,B,37,3,0,0,apertureChange,,
Verb,help,help,1.472,loicon,6.148,hifreq,0.864,1.125981103,27,0.00%,6.5,0.73,1.277209087,16,0.00%,0,,,2.025,-0.745,36,4.672,0,0,0,500.5,1368.04,867.53,medlong,1801.8,AsymmetricalDifferentHandshape,Hand,Palm,imrp,7,BackAndForth,739,28,9,178,216,91,455,82,354,72,,D,42,1,0,1,contactChange,repetition,
Verb,eat_2,eat,5.867,hiicon,6.68,hifreq,0.557,1.244699625,25,0.00%,6.857,0.363,1.284234125,14,0.00%,1,72.00%,71.43%,1.948,1.53,30,4.109,0,0,0,333.67,734.07,400.4,medshort,1768.44,OneHanded,Head,Mouth,imrp,6,BackAndForth,853,32,2,388,300,40,455,74,354,20,,B,82,3,0,0,contactChange,repetition,
Verb,work,work,1.733,loicon,6.739,hifreq,0.541,1.301246857,23,0.00%,6.857,0.363,1.297198313,14,0.00%,0,,,1.948,-0.549,30,4.61,0,0,0,333.67,734.07,400.4,medshort,1368.04,AsymmetricalSameHandshape,Hand,PalmBack,imrp,7,BackAndForth,727,28,9,78,216,24,455,82,354,72,,C,31,3,0,0,contactChange,repetition,
Number,8_hour,8_hour,2.654,medicon,4.267,medfreq,1.574,-0.043379748,30,0.00%,4.444,1.723,-0.040810319,18,0.00%,0,,,2.025,-0.101,26,NA,0,1,0,500.5,1234.57,734.07,medlong,2035.37,AsymmetricalDifferentHandshape,Hand,Palm,m,6,Circular,392,2,0,178,216,91,30,74,111,5,,C,55,2,0,,,,
Number,zero,zero,6.565,hiicon,4.192,medfreq,1.415,0.050808682,26,0.00%,4.313,1.138,0.070085996,16,0.00%,0,,,2.009,1.824,23,3.039,0,0,0,600.6,1468.14,867.53,medlong,2302.3,OneHanded,Neutral,Neutral,imrp,6,Straight,851,10,1,388,349,345,455,74,177,20,,D,13,3,0,,,,
Number,9_oclock,9_oclock,2.741,medicon,4.133,medfreq,1.592,-0.125906723,30,0.00%,4.778,1.478,0.139391841,18,0.00%,0,,,2.025,0.034,27,NA,1,1,0,533.87,1267.94,734.07,medlong,2135.47,OneHanded,Hand,PalmBack,i,6,None,733,5,0,388,216,24,265,74,180,42,,C,80,2,0,,,,
Number,last,last,1.519,loicon,4.875,hifreq,1.393,0.099166385,24,0.00%,5.077,1.256,0.25321102,13,0.00%,0,,,2.016,-0.65,27,4.567,0,0,0,333.67,633.97,300.3,short,2168.84,AsymmetricalSameHandshape,Hand,FingerTip,p,1,Straight,669,5,0,78,216,15,41,487,177,38,,B,38,1,0,,,,
Number,four,four,6.9,hiicon,5.333,hifreq,1.539,0.587604481,30,0.00%,5.722,1.32,0.721899955,18,0.00%,0,,,1.921,2.121,30,4.116,0,0,0,500.5,700.7,200.2,short,1568.24,OneHanded,Neutral,Neutral,imrp,1,None,923,44,12,388,349,345,455,487,180,192,,C,29,1,0,,,,
Number,two,two,6.963,hiicon,5.286,hifreq,1.357,0.586521881,28,0.00%,5.688,1.195,0.75836858,16,0.00%,0,,,2.025,2.166,27,4.736,0,0,0,333.67,934.27,600.6,medshort,1434.77,OneHanded,Neutral,Neutral,im,1,None,855,31,2,388,349,345,129,487,180,66,,C,38,2,0,,,,
Number,first,first,4.867,hiicon,5.767,hifreq,1.223,0.820186984,30,0.00%,6,1.188,0.856931889,18,0.00%,1,73.33%,72.22%,1.821,0.736,30,4.632,0,0,0,400.4,934.27,533.87,medshort,1801.8,OneHanded,Neutral,Neutral,i,1,None,877,48,5,388,349,345,265,487,180,134,,C,33,1,0,,,,
Number,three,three,6.667,hiicon,6.08,hifreq,1.412,0.846200791,25,0.00%,6.429,1.342,1.053569052,14,0.00%,0,,,2.016,1.949,27,4.442,0,0,0,400.4,834.17,433.77,medshort,1534.87,OneHanded,Body,Neutral,im,1,Curved,774,10,1,388,100,11,129,487,125,66,,B,44,1,0,,,,
Noun,thief_1,thief_1,1.5,loicon,1.588,lofreq,0.939,-2.03677658,17,32.00%,1.4,0.699,-1.968021244,10,28.57%,0,,,1.948,-0.654,30,3.093,0,0,0,667.33,1167.84,500.5,medshort,1968.64,OneHanded,Head,UpperLip,im,1,Straight,793,42,3,388,300,7,129,487,177,66,,B,19,3,0,,,,
Noun,pipe,pipe,4.267,medicon,1.909,lofreq,1.444,-1.783418581,22,12.00%,1.5,0.855,-1.918223145,14,0.00%,1,86.36%,85.71%,1.948,0.712,30,2.996,0,0,0,767.43,1167.84,400.4,medshort,1901.9,OneHanded,Head,Chin,p,1,BackAndForth,830,38,6,388,300,63,41,487,354,38,,B,27,3,0,,,,
Noun,headphones,headphones,6.5,hiicon,1.63,lofreq,1.043,-1.675788034,27,10.00%,1.533,0.915,-1.815888833,15,16.67%,0,,,1.921,1.893,30,1.909,0,0,0,567.23,1034.37,467.13,medshort,1901.9,SymmetricalOrAlternating,Head,Other,imrp,5,BackAndForth,843,25,8,332,300,74,455,108,354,89,,C,54,1,0,,,,
Noun,worm,worm,4.6,medicon,2.125,lofreq,1.329,-1.590982341,24,4.00%,1.846,1.345,-1.700596505,13,7.14%,0,,,1.948,0.857,30,2.714,0,0,0,533.87,1134.47,600.6,medshort,1935.27,AsymmetricalDifferentHandshape,Hand,Palm,i,1,Straight,756,36,10,178,216,91,265,487,177,134,,B,23,3,0,,,,
Noun,stethoscope,stethoscope,4.458,medicon,1.333,lofreq,0.767,-1.549948342,18,26.92%,1.167,0.389,-1.675119418,12,25.00%,1,84.21%,75.00%,2.009,0.793,24,1.69,1,0,0,567.23,2002,1434.77,long,2669.34,SymmetricalOrAlternating,Head,Other,i,4,None,765,7,1,332,300,74,265,52,180,16,,D,28,3,0,,,,
Noun,hippo,hippo,3.333,medicon,1.692,lofreq,0.97,-1.590540513,26,13.33%,1.733,1.1,-1.669809526,15,16.67%,0,,,1.921,0.229,30,1.863,0,0,0,533.87,1301.3,767.43,medlong,2068.74,SymmetricalOrAlternating,Neutral,Neutral,p,1,BackAndForth,835,56,4,332,349,345,41,487,354,38,,C,69,1,0,,,,
Noun,emperor,emperor,2.25,loicon,1.407,lofreq,0.888,-1.815982744,27,6.67%,1.733,1.1,-1.666984864,15,11.11%,1,74.07%,80.00%,2.075,-0.337,36,3.781,0,0,0,467.13,1067.73,600.6,medshort,2369.04,OneHanded,Body,Clavicle,imrp,2,Curved,776,5,1,388,100,41,455,76,125,18,,C,5,3,0,,,,
Noun,dart,dart,6.389,hiicon,1.643,lofreq,0.951,-1.575628203,28,6.67%,1.778,1.003,-1.568333062,18,0.00%,1,67.86%,77.78%,2.075,1.668,36,1.996,0,0,0,767.43,1668.34,900.9,medlong,2469.14,OneHanded,Neutral,Neutral,i,6,BackAndForth,840,26,7,388,349,345,265,74,354,42,,C,29,3,0,,,,
Noun,israel,israel,1.033,loicon,2.32,lofreq,1.435,-1.450454352,25,0.00%,2.071,0.997,-1.555321102,14,0.00%,1,100.00%,100.00%,2.045,-0.837,30,1.763,0,1,0,300.3,767.43,467.13,medshort,1634.97,OneHanded,Head,Chin,p,1,BackAndForth,830,38,6,388,300,63,41,487,354,38,,B,18,2,0,,,,
Noun,cigar,cigar,3.633,medicon,2.25,lofreq,1.648,-1.460258014,24,4.00%,2.077,1.188,-1.528021951,13,7.14%,0,,,2.045,0.439,30,2.82,0,0,0,533.87,934.27,400.4,medshort,1601.6,OneHanded,Head,Mouth,im,Crossed,BackAndForth,719,10,1,388,300,40,129,13,354,9,,B,55,2,0,,,,
Noun,mustache,mustache,6.846,hiicon,2.261,lofreq,1.544,-1.574171227,23,8.00%,2.167,1.697,-1.520739815,12,14.29%,0,,,2.016,2.031,26,2.403,0,0,0,734.07,1134.47,400.4,medshort,1935.27,SymmetricalOrAlternating,Head,UpperLip,i,4,BackAndForth,819,9,4,332,300,7,265,52,354,16,,B,21,1,0,,,,
Noun,speakers,speakers,4.654,hiicon,2.25,lofreq,1.622,-1.5548265,24,4.00%,2.077,1.382,-1.504639309,13,7.14%,1,41.67%,23.08%,2.016,0.886,26,2.004,0,0,0,433.77,1067.73,633.97,medshort,1868.54,SymmetricalOrAlternating,Neutral,Neutral,imrp,6,BackAndForth,786,67,2,332,349,345,455,74,354,20,,B,76,1,0,,,,
Noun,tail,tail,4.833,hiicon,1.875,lofreq,1.147,-1.286823532,16,37.04%,1.375,0.744,-1.492419115,8,50.00%,0,,,2.025,0.885,36,3.086,0,0,0,600.6,1401.4,800.8,medlong,2602.6,OneHanded,Other,Other,i,6,BackAndForth,728,9,0,388,1,74,265,74,354,42,,D,83,1,0,,,,
Noun,coins,coins,1.914,loicon,1.632,lofreq,1.116,-1.499274743,19,25.93%,1.545,0.82,-1.490377187,11,25.00%,0,,,2.025,-0.511,35,2.342,1,0,0,467.13,1601.6,1134.47,long,2335.67,AsymmetricalDifferentHandshape,Hand,Palm,imrp,4,None,698,14,1,178,216,91,455,52,180,30,,D,18,1,0,,,,
Noun,engagement,engagement,2.63,medicon,2.2,lofreq,1.436,-1.635280951,20,20.00%,2.3,1.337,-1.474716752,10,28.57%,0,,,2.016,-0.132,27,2.824,0,0,0,367.03,867.53,500.5,medshort,1801.8,AsymmetricalDifferentHandshape,Hand,FingerBack,im,2,Circular,439,8,0,178,216,21,129,76,111,19,,B,84,1,0,,,,
Noun,cabinet,cabinet,3.233,medicon,2.9,medfreq,1.165,-1.206029903,20,16.00%,2.5,0.972,-1.45310923,10,21.43%,1,55.00%,70.00%,1.948,0.203,30,2.629,0,0,0,567.23,1134.47,567.23,medshort,1935.27,SymmetricalOrAlternating,Neutral,Neutral,imrp,5,BackAndForth,779,85,8,332,349,345,455,108,354,89,,B,30,3,0,,,,
Noun,blinds_2,blinds_2,3.889,medicon,1.826,lofreq,1.193,-1.513830884,23,16.67%,2.143,1.406,-1.440473259,14,11.11%,1,65.22%,78.57%,2.075,0.403,36,2.041,0,0,0,633.97,1267.94,633.97,medshort,2135.47,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,Straight,870,88,12,332,349,345,455,487,177,192,,C,14,3,0,,,,
Noun,blinds_1,blinds_1,4.267,medicon,2.2,lofreq,1.576,-1.553943776,20,20.00%,2.2,1.619,-1.413125745,10,28.57%,0,,,2.045,0.731,30,NA,0,0,0,433.77,967.63,533.87,medshort,1835.17,AsymmetricalDifferentHandshape,Neutral,Neutral,imrp,1,None,904,17,12,178,349,345,455,487,180,192,,B,81,2,0,,,,
Noun,cross,cross,6.467,hiicon,1.967,lofreq,1.299,-1.438368863,30,0.00%,2.111,1.367,-1.411174967,18,0.00%,0,,,1.921,1.858,30,3.448,0,0,0,600.6,1267.94,667.33,medlong,2369.04,OneHanded,Neutral,Neutral,imrp,5,Other,812,7,2,388,349,345,455,108,46,89,,C,67,1,0,,,,
Noun,castle,castle,3.744,medicon,1.579,lofreq,0.838,-1.332802568,19,9.52%,1.455,0.688,-1.400430368,11,8.33%,1,100.00%,100.00%,2.048,0.28,39,3.041,0,0,0,266.93,1067.73,800.8,medlong,2168.84,SymmetricalOrAlternating,Neutral,Neutral,im,5,Straight,662,9,0,332,349,345,129,108,177,5,,A,8,1,1,,,,
Noun,corn_2,corn_2,3.692,medicon,2,lofreq,0.903,-1.39963611,28,3.33%,2.188,0.981,-1.385498985,16,5.56%,1,96.43%,100.00%,2.025,0.458,26,2.861,0,0,0,567.23,1101.1,533.87,medshort,2068.74,SymmetricalOrAlternating,Head,Other,imrp,5,None,798,28,7,332,300,74,455,108,180,89,,C,26,2,0,,,,
Noun,mime,mime,2.087,loicon,2.048,lofreq,1.596,-1.246204393,21,19.23%,1.846,1.676,-1.369654871,13,18.75%,1,80.95%,92.31%,2.009,-0.399,23,1.771,0,1,0,433.77,1534.87,1101.1,long,2102.1,SymmetricalOrAlternating,Body,Clavicle,imrp,4,Circular,668,6,0,332,100,41,455,52,111,30,,D,19,3,0,,,,
Noun,magnet,magnet,3.857,medicon,2.25,lofreq,1.005,-1.272199744,28,6.67%,2.25,0.931,-1.320177894,16,11.11%,0,,,2.075,0.413,35,2.84,0,0,0,467.13,800.8,333.67,medshort,1601.6,SymmetricalOrAlternating,Neutral,Neutral,m,3,Straight,597,10,0,332,349,345,30,88,177,23,,C,3,3,0,,,,
Noun,freckles,freckles,3.519,medicon,2.667,medfreq,1.494,-1.277933349,24,0.00%,2.462,1.561,-1.319297133,13,0.00%,0,,,2.016,0.297,27,2.009,0,0,0,633.97,1334.67,700.7,medlong,2235.57,SymmetricalOrAlternating,Head,CheekNose,imrp,5,BackAndForth,843,25,8,332,300,45,455,108,354,89,,B,83,1,0,,,,
Noun,rhino,rhino,4.783,hiicon,1.917,lofreq,1.442,-1.346811976,24,7.69%,1.875,1.5,-1.308928227,16,0.00%,1,100.00%,100.00%,2.009,0.865,23,2.029,0,0,0,567.23,1368.04,800.8,medlong,1868.54,OneHanded,Head,CheekNose,p,1,BackAndForth,830,38,6,388,300,45,41,487,354,38,,D,16,3,0,,,,
Noun,jelly,jelly,1.815,loicon,2.391,medfreq,1.803,-1.085223865,23,23.33%,2.154,1.405,-1.306348353,13,27.78%,0,,,2.025,-0.463,27,2.561,0,1,0,367.03,967.63,600.6,medshort,1968.64,AsymmetricalDifferentHandshape,Hand,Palm,p,1,None,672,16,1,178,216,91,41,487,180,38,,C,40,2,0,,,,
Noun,stamp,stamp,3.086,medicon,2.762,medfreq,1.578,-1.053237287,21,20.00%,2.357,1.277,-1.303004116,14,5.56%,1,85.71%,92.86%,2.075,0.053,35,2.481,0,0,0,333.67,900.9,567.23,medshort,1534.87,AsymmetricalSameHandshape,Head,Mouth,im,1,Straight,750,5,3,78,300,40,129,487,177,66,,C,63,3,0,,,,
Noun,microscope,microscope,5.714,hiicon,1.667,lofreq,1.328,-1.328852319,18,28.00%,1.5,1.269,-1.299726917,10,33.33%,0,,,2.153,0.994,21,2.114,0,0,0,633.97,1167.84,533.87,medshort,1801.8,SymmetricalOrAlternating,Head,Eye,imrp,6,None,814,7,1,332,300,61,455,74,180,20,,A,76,3,0,,,,
Noun,silver,silver,1.167,loicon,2.077,lofreq,0.935,-1.192833503,26,0.00%,1.875,0.957,-1.290329498,16,0.00%,1,88.46%,87.50%,2.009,-0.916,24,3.21,0,1,0,667.33,1534.87,867.53,medlong,2502.5,OneHanded,Head,Other,imrp,7,BackAndForth,846,34,2,388,300,74,455,82,354,72,,D,91,3,0,,,,
Noun,parade,parade,1.7,loicon,2.68,medfreq,1.909,-1.167809821,25,0.00%,2.429,1.785,-1.289110014,14,0.00%,0,,,2.045,-0.512,30,2.818,0,0,0,567.23,1201.2,633.97,medshort,1668.34,SymmetricalOrAlternating,Neutral,Neutral,imrp,3,BackAndForth,791,66,3,332,349,345,455,88,354,34,,B,39,2,0,,,,
Noun,envelope,envelope,3.806,medicon,1.913,lofreq,0.848,-1.31980476,23,11.11%,1.933,0.799,-1.270912065,15,11.76%,0,,,2.166,0.38,31,2.711,1,0,0,600.6,1968.64,1368.04,long,2569.24,OneHanded,Head,Mouth,imrp,1,Circular,896,50,4,388,300,40,455,487,111,192,,D,20,2,0,,,,
Noun,pineapple,pineapple,,loicon,2,lofreq,1.103,-1.384988015,24,20.00%,2.385,1.121,-1.265773583,13,27.78%,0,,,,,,2.117,0,0,0,533.87,1067.73,533.87,medshort,1835.17,AsymmetricalDifferentHandshape,Hand,Other,i,5,None,601,4,0,178,216,74,265,108,180,11,,C,88,2,0,,,,
Noun,windmill,windmill,2.533,medicon,2.286,lofreq,1.521,-0.880448201,21,22.22%,1.444,0.527,-1.236900976,9,30.77%,0,,,2.074,-0.276,30,1.82,0,0,0,467.13,1267.94,800.8,medlong,2135.47,AsymmetricalDifferentHandshape,Hand,FingerTip,im,1,None,706,26,5,178,216,15,129,487,180,66,,B,29,2,0,,,,
Noun,crocodile,crocodile,5.441,hiicon,2.519,medfreq,1.74,-0.924262771,27,0.00%,2.063,1.611,-1.204904765,16,0.00%,0,,,2.025,1.247,34,2.064,0,0,0,633.97,1768.44,1134.47,long,2302.3,SymmetricalOrAlternating,Neutral,Palm,imrp,2,BackAndForth,791,67,4,332,349,91,455,76,354,18,,D,81,1,0,,,,
Noun,violin,violin,7,hiicon,1.72,lofreq,1.37,-1.193110281,25,0.00%,1.6,1.352,-1.202687193,15,0.00%,0,,,2.153,1.621,21,2.386,0,0,0,1668.34,2335.67,667.33,medlong,3136.47,AsymmetricalSameHandshape,Arm,Other,i,6,BackAndForth,605,2,1,78,27,74,265,74,354,42,,B,39,1,0,,,,
Noun,kangaroo,kangaroo,5.08,hiicon,1.958,lofreq,1.459,-1.289363279,24,3.85%,2.143,1.703,-1.198377105,14,6.25%,0,,,2.009,1.039,25,2.076,0,0,0,467.13,1401.4,934.27,medlong,2102.1,SymmetricalOrAlternating,Neutral,Neutral,imrp,4,BackAndForth,781,62,3,332,349,345,455,52,354,30,,D,79,3,0,,,,
Noun,rope,rope,3.68,medicon,2.083,lofreq,1.412,-1.143272643,24,7.69%,2,1.109,-1.197299543,14,12.50%,0,,,2.009,0.298,25,3.064,0,0,0,633.97,1601.6,967.63,medlong,2302.3,AsymmetricalSameHandshape,Hand,FingerTip,im,Crossed,Other,352,0,0,78,216,15,129,13,46,9,,D,12,3,0,,,,
Noun,tornado,tornado,2.533,medicon,1.815,lofreq,1.075,-1.100934825,27,0.00%,1.615,0.768,-1.168817497,13,0.00%,0,,,2.074,-0.256,30,2.117,0,0,0,433.77,1267.94,834.17,medlong,1434.77,SymmetricalOrAlternating,Neutral,Neutral,i,7,Straight,713,15,1,332,349,345,265,82,177,6,,A,47,2,0,,,,
Noun,pool_game,pool_game,5.194,hiicon,2.038,lofreq,1.248,-1.200895065,26,3.70%,2.063,1.389,-1.167474973,16,5.88%,1,84.62%,75.00%,2.166,1.048,31,3.38,0,0,0,600.6,1935.27,1334.67,long,2736.07,Other,Neutral,Neutral,i,7,BackAndForth,722,2,1,17,349,345,265,82,354,6,,D,10,2,0,,,,
Noun,canoe,canoe,5.806,hiicon,2.222,lofreq,1.34,-1.065162619,27,0.00%,2.063,1.063,-1.151273699,16,0.00%,1,40.74%,37.50%,2.025,1.433,36,2.262,0,0,0,533.87,1668.34,1134.47,long,2569.24,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Other,679,32,1,332,349,345,455,82,46,72,,D,45,1,0,,,,
Noun,drum,drum,6.048,hiicon,2,lofreq,1.291,-1.057959842,25,0.00%,1.733,1.033,-1.150113132,15,0.00%,0,,,2.153,1.152,21,2.637,0,0,0,567.23,1267.94,700.7,medlong,2302.3,SymmetricalOrAlternating,Neutral,Neutral,i,2,BackAndForth,765,27,8,332,349,345,265,76,354,39,,A,75,3,0,,,,
Noun,foreigner_1,foreigner,1.2,loicon,2.407,medfreq,1.647,-1.12530634,27,10.00%,2.529,1.586,-1.146137071,17,5.56%,1,66.67%,70.59%,1.921,-0.842,30,2.179,1,0,0,467.13,1301.3,834.17,medlong,2268.94,OneHanded,Arm,ForearmUlnar,imrp,1,Circular,887,4,0,388,27,12,455,487,111,192,,C,77,1,0,,,,
Noun,steak,steak,1.548,loicon,2.261,lofreq,1.287,-1.067950382,23,14.81%,2.077,1.441,-1.125844951,13,23.53%,0,,,2.166,-0.64,31,2.919,1,0,0,567.23,1768.44,1201.2,long,2635.97,AsymmetricalDifferentHandshape,Hand,FingerRadial,i,4,None,559,8,0,178,216,33,265,52,180,16,,D,41,2,0,,,,
Noun,helicopter,helicopter,4.903,hiicon,2.481,medfreq,1.553,-0.911477588,27,0.00%,2.176,1.185,-1.112161459,17,0.00%,0,,,2.166,0.882,31,2.907,0,0,0,633.97,1801.8,1167.84,long,2235.57,AsymmetricalDifferentHandshape,Hand,FingerTip,imrp,1,Straight,835,35,5,178,216,15,455,487,46,192,,D,42,2,0,,,,
Noun,bowtie,bowtie,5.077,hiicon,1.903,lofreq,1.399,-1.094993125,31,0.00%,1.778,1.215,-1.106590385,18,0.00%,0,,,2.048,0.935,39,0.845,0,0,0,433.77,1001,567.23,medshort,1067.73,SymmetricalOrAlternating,Body,Neck,im,7,None,619,0,0,332,100,11,129,82,180,4,,A,44,1,0,,,,
Noun,goat,goat,3.2,medicon,2.037,lofreq,1.018,-1.002402154,27,0.00%,1.769,1.013,-1.099297946,13,0.00%,0,,,2.074,0.077,30,2.731,0,0,0,300.3,1034.37,734.07,medlong,1267.94,OneHanded,Head,Chin,im,2,Other,581,6,0,388,300,63,129,76,46,19,,A,24,2,0,,,,
Noun,rollerblade,rollerblade,3.9,medicon,2.111,lofreq,1.396,-1.169374903,27,0.00%,2.235,1.437,-1.09870078,17,0.00%,1,81.48%,76.47%,2.166,0.442,30,1,0,0,0,533.87,1801.8,1267.94,long,2435.77,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,BackAndForth,908,118,32,332,349,345,455,487,354,192,,D,33,2,0,,,,
Noun,hammer,hammer,5.968,hiicon,2.5,medfreq,1.456,-1.0953272,30,0.00%,2.667,1.495,-1.092657542,18,0.00%,1,63.33%,66.67%,1.821,1.42,31,2.804,0,0,0,433.77,967.63,533.87,medshort,1735.07,OneHanded,Neutral,Neutral,i,7,BackAndForth,844,15,1,388,349,345,265,82,354,6,,C,21,2,0,,,,
Noun,rat,rat,1.5,loicon,2.63,medfreq,1.864,-0.837962463,27,0.00%,2.235,1.522,-1.087188832,17,0.00%,0,,,2.166,-0.665,30,3.221,0,1,0,700.7,1468.14,767.43,medlong,1968.64,OneHanded,Head,CheekNose,im,Crossed,BackAndForth,719,10,1,388,300,45,129,13,354,9,,D,81,2,0,,,,
Noun,hairdryer,hairdryer,4.067,medicon,3.2,medfreq,1.708,-0.878442625,25,0.00%,2.857,1.512,-1.081822596,14,0.00%,0,,,2.045,0.623,30,1.079,0,0,0,500.5,1234.57,734.07,medlong,1835.17,OneHanded,Head,Other,i,1,BackAndForth,861,90,7,388,300,74,265,487,354,134,,B,78,2,0,,,,
